EventID	Biomarker	Response	Response_unit	Exposure_duration_day	Dose	Rep1	Rep2	Rep3	Rep4	Rep5	Rep6
MIE	ROS production	Increase	Relative fluorescent unit	2	0	1.115593251	0.523438132	1.360968616			
MIE	ROS production	Increase	Relative fluorescent unit	2	0.0008	9.600689108	3.452011275	11.41866215			
MIE	ROS production	Increase	Relative fluorescent unit	2	0.05	5.27750112	8.604726815	5.343714368			
MIE	ROS production	Increase	Relative fluorescent unit	2	0.1	14.85264757	12.13225715	27.33086304			
MIE	ROS production	Increase	Relative fluorescent unit	2	0.2	22.74409937	48.94975582	9.582140638			
MIE	ROS production	Increase	Relative fluorescent unit	2	0.4	24.0702663	15.17732598	36.64047814			
KE1	Protein oxidation	Increase	nmol cabonylation/ug protein)	2	0	2.874349909	5.80876787	6.77366886	4.853843264	3.736740246	
KE1	Protein oxidation	Increase	nmol cabonylation/ug protein)	2	0.0008	3.090487662	2.512362125	3.358851937	5.852888887	33.98006481	
KE1	Protein oxidation	Increase	nmol cabonylation/ug protein)	2	0.05	3.799533302	2.249603009	3.797578088	3.473291459	3.73777391	
KE1	Protein oxidation	Increase	nmol cabonylation/ug protein)	2	0.1	3.258260085	16.24432386	2.829965472	6.407949562	2.692725016	
KE1	Protein oxidation	Increase	nmol cabonylation/ug protein)	2	0.2	2.969884996	48.84889937	3.918228128	2.280604511	10.69282808	
KE1	Protein oxidation	Increase	nmol cabonylation/ug protein)	2	0.4	112.0678629	9.765385456	12.32921681	NA	NA	
KE2	Abnormal osmoregulation	Increase	Relative fluorescent unit	2	0	4.02797E-10	3.8104E-10	4.37053E-10	3.79411E-10		
KE2	Abnormal osmoregulation	Increase	Relative fluorescent unit	2	0.0008	2.86718E-10	2.10367E-10	2.78869E-10	1.57307E-10		
KE2	Abnormal osmoregulation	Increase	Relative fluorescent unit	2	0.05	1.86297E-10	1.58677E-10	1.52606E-10	2.0021E-10		
KE2	Abnormal osmoregulation	Increase	Relative fluorescent unit	2	0.1	2.2916E-10	2.18208E-10	1.56739E-10	2.51105E-10		
KE2	Abnormal osmoregulation	Increase	Relative fluorescent unit	2	0.2	2.13355E-10	2.39245E-10	1.04309E-10	2.10085E-10		
